"STATION","NAME","DATE","DAPR","DAWM","MDPR","MDWM","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WDMV"
"USC00048135","SHASTA DAM, CA US","1984-07-10",,,,,"0.00","0.0","0.0","93","72","74","67.1"
"USC00048135","SHASTA DAM, CA US","1984-07-11",,,,,"0.00","0.0","0.0","100","69","71","60.3"
"USC00048135","SHASTA DAM, CA US","1984-07-12",,,,,"0.00","0.0","0.0","100","71","75","57.8"
"USC00048135","SHASTA DAM, CA US","1984-07-13",,,,,"0.00","0.0","0.0","99","76","79","72.1"
"USC00048135","SHASTA DAM, CA US","1984-07-14",,,,,"0.00","0.0","0.0","100","78","80","77.1"
"USC00048135","SHASTA DAM, CA US","1984-07-15",,,,,"0.00","0.0","0.0","107","75","77","64.0"
"USC00048135","SHASTA DAM, CA US","1984-07-16",,,,,"0.00","0.0","0.0","106","77","77","49.7"
"USC00048135","SHASTA DAM, CA US","1984-07-17",,,,,"0.00","0.0","0.0","105","72","80","47.2"
"USC00048135","SHASTA DAM, CA US","1984-07-18",,,,,"0.00","0.0","0.0","99","79","79","47.8"
"USC00048135","SHASTA DAM, CA US","1984-07-19",,,,,"0.00","0.0","0.0","100","74","75","49.1"
"USC00048135","SHASTA DAM, CA US","1984-07-20",,,,,"0.00","0.0","0.0","101","72","74","49.7"
"USC00048135","SHASTA DAM, CA US","1984-07-21",,,,,"0.00","0.0","0.0","95","72","72","54.1"
"USC00048135","SHASTA DAM, CA US","1984-07-22",,,,,"0.00","0.0","0.0","91","63","66","59.0"
"USC00048135","SHASTA DAM, CA US","1984-07-23",,,,,"0.00","0.0","0.0","90","60","64","59.0"
"USC00048135","SHASTA DAM, CA US","1984-07-24",,,,,"0.00","0.0","0.0","88","64","72","37.9"
"USC00048135","SHASTA DAM, CA US","1984-07-25",,,,,"0.00","0.0","0.0","90","60","63","49.1"
"USC00048135","SHASTA DAM, CA US","1984-07-26",,,,,"0.00","0.0","0.0","90","64","66","49.1"
"USC00048135","SHASTA DAM, CA US","1984-07-27",,,,,"0.00","0.0","0.0","97","67","69","52.2"
"USC00048135","SHASTA DAM, CA US","1984-07-28",,,,,"0.00","0.0","0.0","98","67","68","51.0"
"USC00048135","SHASTA DAM, CA US","1984-07-29",,,,,"0.00","0.0","0.0","95","67","68","47.2"
"USC00048135","SHASTA DAM, CA US","1984-07-30",,,,,"0.00","0.0","0.0","97","67","69","47.8"
"USC00048135","SHASTA DAM, CA US","1984-07-31",,,,,"0.00","0.0","0.0","102","69","71","52.8"
"USC00048135","SHASTA DAM, CA US","1984-08-01",,,,,"0.00","0.0","0.0","98","69","71","49.7"
"USC00048135","SHASTA DAM, CA US","1984-08-02",,,,,"0.00","0.0","0.0","95","66","69","52.2"
"USC00048135","SHASTA DAM, CA US","1984-08-03",,,,,"0.00","0.0","0.0","91","65","67","49.7"
"USC00048135","SHASTA DAM, CA US","1984-08-04",,,,,"0.00","0.0","0.0","97","65","71","41.0"
"USC00048135","SHASTA DAM, CA US","1984-08-05",,,,,"0.00","0.0","0.0","99","69","70","52.2"
"USC00048135","SHASTA DAM, CA US","1984-08-06",,,,,"0.00","0.0","0.0","92","69","71","47.2"
"USC00048135","SHASTA DAM, CA US","1984-08-07",,,,,"0.00","0.0","0.0","97","71","76","62.8"
"USC00048135","SHASTA DAM, CA US","1984-08-08",,,,,"0.00","0.0","0.0","104","71","71","57.2"
"USC00048135","SHASTA DAM, CA US","1984-08-09",,,,,"0.00","0.0","0.0","106","72","73","44.1"
"USC00048135","SHASTA DAM, CA US","1984-08-10",,,,,"0.00","0.0","0.0","104","71","71","52.8"
"USC00048135","SHASTA DAM, CA US","1984-08-11",,,,,"0.00","0.0","0.0","100","68","68","44.7"
"USC00048135","SHASTA DAM, CA US","1984-08-12",,,,,"0.00","0.0","0.0","91","66","66","47.2"
"USC00048135","SHASTA DAM, CA US","1984-08-13",,,,,"0.00","0.0","0.0","93","66","69","44.7"
"USC00048135","SHASTA DAM, CA US","1984-08-14",,,,,"0.00","0.0","0.0","94","67","69","47.8"
"USC00048135","SHASTA DAM, CA US","1984-08-15",,,,,"0.00","0.0","0.0","98","66","67","49.7"
"USC00048135","SHASTA DAM, CA US","1984-08-16",,,,,"0.00","0.0","0.0","93","66","66","47.8"
"USC00048135","SHASTA DAM, CA US","1984-08-17",,,,,"0.00","0.0","0.0","94","66","68","39.1"
"USC00048135","SHASTA DAM, CA US","1984-08-18",,,,,"0.00","0.0","0.0","99","68","72","42.9"
"USC00048135","SHASTA DAM, CA US","1984-08-19",,,,,"0.00","0.0","0.0","99","70","73","49.7"
"USC00048135","SHASTA DAM, CA US","1984-08-20",,,,,"0.00","0.0","0.0","97","66","67","49.7"
"USC00048135","SHASTA DAM, CA US","1984-08-21",,,,,"0.00","0.0","0.0","101","68","68","47.8"
"USC00048135","SHASTA DAM, CA US","1984-08-22",,,,,"0.00","0.0","0.0","95","66","66","51.0"
"USC00048135","SHASTA DAM, CA US","1984-08-23",,,,,"0.00","0.0","0.0","93","65","65","47.8"
"USC00048135","SHASTA DAM, CA US","1984-08-24",,,,,"0.00","0.0","0.0","89","62","62","44.7"
"USC00048135","SHASTA DAM, CA US","1984-08-25",,,,,"0.00","0.0","0.0","85","62","62","37.9"
"USC00048135","SHASTA DAM, CA US","1984-08-26",,,,,"0.09","0.0","0.0","83","61","63","37.9"
"USC00048135","SHASTA DAM, CA US","1984-08-27",,,,,"0.00","0.0","0.0","93","62","66","47.8"
"USC00048135","SHASTA DAM, CA US","1984-08-28",,,,,"0.00","0.0","0.0","90","68","68","49.1"
"USC00048135","SHASTA DAM, CA US","1984-08-29",,,,,"0.00","0.0","0.0","97","67","71","39.1"
"USC00048135","SHASTA DAM, CA US","1984-08-30",,,,,"0.01","0.0","0.0","99","70","70","47.8"
"USC00048135","SHASTA DAM, CA US","1984-08-31",,,,,"0.48","0.0","0.0","78","51","52","34.2"
"USC00048135","SHASTA DAM, CA US","1984-09-01",,,,,"0.00","0.0","0.0","87","57","66","80.8"
"USC00048135","SHASTA DAM, CA US","1984-09-02",,,,,"0.00","0.0","0.0","92","66","67","60.9"
"USC00048135","SHASTA DAM, CA US","1984-09-03",,,,,"0.00","0.0","0.0","87","64","65","44.7"
"USC00048135","SHASTA DAM, CA US","1984-09-04",,,,,"0.00","0.0","0.0","89","64","64","51.0"
"USC00048135","SHASTA DAM, CA US","1984-09-05",,,,,"0.00","0.0","0.0","88","64","65","52.2"
